Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,26/11/2016,9.341233,9.28811,9.696314,9.185255
ETH,27/11/2016,9.224529,9.341233,9.417432,9.187882
ETH,28/11/2016,8.826192,9.224529,9.238704,8.705414
ETH,29/11/2016,8.453786,8.826192,8.888341,8.44028
ETH,30/11/2016,8.263665,8.453786,8.480839,7.812378
ETH,01/12/2016,8.527776,8.263665,8.67368,8.244343
ETH,02/12/2016,8.171604,8.527776,8.548497,8.15526
ETH,03/12/2016,7.970143,8.171604,8.19981,7.40339
ETH,04/12/2016,7.817933,7.970143,8.122727,7.606095
ETH,05/12/2016,7.529515,7.817933,7.90873,7.365549
ETH,06/12/2016,6.717527,7.529515,7.574757,6.433341
ETH,07/12/2016,7.531045,6.717527,7.874025,5.921911
ETH,08/12/2016,8.473844,7.531045,8.684225,7.333676
ETH,09/12/2016,8.20362,8.473844,8.819835,8.025071
ETH,10/12/2016,8.458332,8.20362,8.644157,8.15954
ETH,11/12/2016,8.119684,8.458332,8.497907,7.989191
ETH,12/12/2016,8.182465,8.119684,8.257124,8.077717
ETH,13/12/2016,8.42452,8.182465,8.584149,8.119063
ETH,14/12/2016,8.394537,8.42452,8.514608,8.318329
ETH,15/12/2016,8.195936,8.394537,8.440725,8.044697
ETH,16/12/2016,7.836525,8.195936,8.206139,7.694463
ETH,17/12/2016,7.709642,7.836525,7.892591,7.699776
ETH,18/12/2016,7.813304,7.709642,7.939579,7.495653
ETH,19/12/2016,7.735086,7.813304,7.926575,7.690697
ETH,20/12/2016,7.601047,7.735086,7.809061,7.55273
ETH,21/12/2016,7.675313,7.601047,7.74531,7.556619
ETH,22/12/2016,7.569866,7.675313,7.949815,7.533357
ETH,23/12/2016,7.601819,7.569866,7.800515,7.422918
ETH,24/12/2016,7.221961,7.601819,7.601819,7.041941
ETH,25/12/2016,7.256569,7.221961,7.381439,7.200651
ETH,26/12/2016,7.260191,7.256569,7.363132,7.054099
ETH,27/12/2016,7.303933,7.260191,7.344762,7.201598
ETH,28/12/2016,7.235181,7.303933,7.323447,7.058787
ETH,29/12/2016,8.111114,7.235181,8.159559,7.085939
ETH,30/12/2016,8.36334,8.111114,8.51807,7.934264
ETH,31/12/2016,8.013868,8.36334,8.479225,7.990425
ETH,01/01/2017,8.437012,8.013868,8.579513,7.95261
ETH,02/01/2017,8.212046,8.437012,8.454829,8.07402
ETH,03/01/2017,8.332855,8.212046,8.451337,8.109302
ETH,04/01/2017,10.435576,8.332855,10.480458,8.332855
ETH,05/01/2017,11.445979,10.435576,11.551621,10.261253
ETH,06/01/2017,9.956588,11.445979,11.551746,9.333461
ETH,07/01/2017,9.737254,9.956588,10.356583,9.476354
ETH,08/01/2017,10.001896,9.737254,10.161477,9.550739
ETH,09/01/2017,10.266545,10.001896,10.482916,9.917815
ETH,10/01/2017,10.485289,10.266545,10.886117,10.160361
ETH,11/01/2017,10.696117,10.485289,10.718015,10.276395
ETH,12/01/2017,9.401194,10.696117,10.719078,9.306466
ETH,13/01/2017,9.487749,9.401194,10.022636,9.153407
ETH,14/01/2017,9.598883,9.487749,9.717102,9.418757
