Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,16/08/2019,187.9278393,189.6936325,189.9109918,180.0358101
ETH,17/08/2019,185.9325033,188.1461935,188.1461935,178.3066536
ETH,18/08/2019,186.3736191,185.9494955,186.572749,182.2122054
ETH,19/08/2019,194.7744371,185.6367733,197.9024857,183.3606365
ETH,20/08/2019,200.6583914,194.7750047,202.8551121,193.0932168
ETH,21/08/2019,198.1378702,200.6585986,203.5303106,194.9857252
ETH,22/08/2019,184.8960218,198.1406678,198.2963584,180.5554796
ETH,23/08/2019,193.7319852,184.8933109,195.0971625,182.8136615
ETH,24/08/2019,193.9669059,190.6748553,196.3663188,188.6423055
ETH,25/08/2019,190.798504,194.0346257,194.2765907,186.2781652
ETH,26/08/2019,186.1119315,190.8039604,192.5964582,183.1354369
ETH,27/08/2019,188.0709594,186.8025598,194.0876922,185.8345895
ETH,28/08/2019,185.7509883,188.0587574,189.181218,184.7450818
ETH,29/08/2019,174.0590163,187.1406594,188.0544013,166.3943474
ETH,30/08/2019,168.961462,174.0616853,174.0883113,163.9105753
ETH,31/08/2019,168.6898906,168.9515702,170.3022489,165.7575073
ETH,01/09/2019,172.8455754,168.5187353,174.9729731,166.0265663
ETH,02/09/2019,172.0143992,172.8261603,173.5498796,168.110354
ETH,03/09/2019,178.4059547,172.0213348,181.0235305,170.5520437
ETH,04/09/2019,180.3972338,178.6012016,183.046488,175.1707108
ETH,05/09/2019,174.3697252,180.3998344,180.703478,173.4475722
ETH,06/09/2019,174.9847095,174.3779948,175.5946978,169.7753623
ETH,07/09/2019,169.1709225,174.998372,178.3285079,165.452909
ETH,08/09/2019,178.6452352,169.1518813,181.0204533,168.7406681
ETH,09/09/2019,181.445454,178.2157073,184.2881895,177.1594463
ETH,10/09/2019,182.2717701,181.4413664,185.4540334,176.2742855
ETH,11/09/2019,179.4033829,182.2687224,184.5444279,176.9743
ETH,12/09/2019,178.3436659,179.9270524,182.512877,174.4060047
ETH,13/09/2019,181.2873036,178.3473136,182.5456221,176.8659888
ETH,14/09/2019,180.7958504,181.2892051,181.4556501,177.8017549
ETH,15/09/2019,187.4962298,180.7985023,188.6503457,179.9538264
ETH,16/09/2019,188.7210222,188.6049837,190.6841347,186.1629628
ETH,17/09/2019,197.7618966,189.45948,199.7446388,188.5793541
ETH,18/09/2019,211.8446526,197.7609893,215.1567035,196.4356548
ETH,19/09/2019,211.7686705,211.82585,217.7314461,207.223138
ETH,20/09/2019,220.4508762,210.2545682,224.0578836,202.4375992
ETH,21/09/2019,214.5472068,220.4685405,222.9280727,212.2803286
ETH,22/09/2019,215.6904162,214.5594236,221.3215019,213.6352797
ETH,23/09/2019,210.6311029,215.6898086,216.427473,206.2164186
ETH,24/09/2019,201.7345164,210.6311884,211.9376629,198.7209499
ETH,25/09/2019,168.9992628,201.7106798,202.79481,153.5773183
ETH,26/09/2019,169.9438202,166.4584065,175.2361698,162.3989671
ETH,27/09/2019,166.6986944,169.9462635,170.9986839,152.792275
ETH,28/09/2019,172.7389316,166.70021,177.1355995,161.3662557
ETH,29/09/2019,172.997552,174.0520062,175.5296415,168.5297637
ETH,30/09/2019,171.0073197,172.9944184,174.62996,164.652282
ETH,01/10/2019,177.9168792,169.4650463,180.7383957,165.5019504
ETH,02/10/2019,176.9313026,181.1987394,185.5531425,173.9327109
ETH,03/10/2019,178.6122629,176.9355936,179.2120178,174.3922359
ETH,04/10/2019,175.1317829,178.6144732,181.4239301,169.9848044
ETH,05/10/2019,176.8658985,175.0228574,179.0944323,171.2040497
ETH,06/10/2019,176.060443,176.8619875,176.9344928,172.3521434
ETH,07/10/2019,169.4697137,176.5445171,177.0911151,168.1019019
ETH,08/10/2019,181.4028513,169.4751614,182.5301278,168.6814467
ETH,09/10/2019,180.7891908,181.4028352,184.9466911,177.5541288
ETH,10/10/2019,193.1512327,180.7336277,194.6156621,179.1623635
ETH,11/10/2019,192.1981992,193.1521878,195.708969,187.0135686
ETH,12/10/2019,181.0085295,192.1985798,196.9808386,179.6352639
ETH,13/10/2019,180.79133,181.0120342,184.5822471,177.8028309
ETH,14/10/2019,181.5366658,179.8019772,184.5515804,178.7876886
ETH,15/10/2019,186.1238271,181.5367927,187.5599757,180.4860191
ETH,17/10/2019,174.7540832,180.503123,181.2679391,171.8682058
ETH,18/10/2019,176.3901046,174.7541946,178.9594705,172.7968865
ETH,19/10/2019,173.7500889,176.3914358,177.2022735,168.7672567
ETH,20/10/2019,171.1585128,172.8195486,174.946621,169.9091738
ETH,21/10/2019,174.6693847,171.1615027,176.5968296,169.463679
ETH,22/10/2019,173.7658274,175.1423786,177.6712917,171.8260006
ETH,23/10/2019,171.3018586,173.7639581,175.2730854,170.9862148
ETH,24/10/2019,159.5431046,171.2342547,171.5360965,153.3632515
ETH,25/10/2019,161.0687513,159.5283559,163.7493604,158.9530046
ETH,26/10/2019,179.9804506,160.4766971,187.5246292,160.4378279
ETH,27/10/2019,184.9332869,179.9785938,197.8758978,174.0566951
ETH,28/10/2019,183.9328016,184.9408818,189.8001355,180.7852769
ETH,29/10/2019,192.3885044,181.9923264,192.8824666,181.5986433
ETH,30/10/2019,183.3652158,192.3960443,192.5929549,180.1672521
ETH,31/10/2019,181.5668036,183.3729921,185.2490926,177.950236
ETH,01/11/2019,182.8739795,181.5678529,184.6004073,177.6418123
ETH,02/11/2019,182.853304,183.0484887,185.5946073,181.853086
ETH,03/11/2019,182.2438145,182.8529697,184.823773,179.1527611
ETH,04/11/2019,185.3686817,182.2454399,188.4429224,180.4331644
ETH,05/11/2019,188.8571937,185.9744358,192.2945772,182.6067913
ETH,06/11/2019,191.0586073,188.854812,194.5981295,187.9802997
ETH,07/11/2019,187.0749396,191.0565462,192.1825384,184.5991353
ETH,08/11/2019,184.4694667,186.5114334,188.0422282,180.9812153
ETH,09/11/2019,185.1915992,184.4704385,185.6216232,182.4951389
ETH,10/11/2019,189.7227333,185.1912963,191.3733014,183.2634618
ETH,11/11/2019,185.359517,189.7216905,190.0451627,184.6442022
ETH,12/11/2019,186.3251476,185.3596158,187.105962,182.1945968
ETH,13/11/2019,187.251114,186.3258676,189.296612,185.1390974
ETH,14/11/2019,184.8074617,187.8049832,188.3566913,182.8920147
ETH,15/11/2019,180.724972,184.8075113,186.2298715,176.9691396
ETH,16/11/2019,182.1067434,180.724823,183.2523008,179.1478944
ETH,17/11/2019,184.192142,182.1067435,186.156566,180.0385564
ETH,18/11/2019,178.4221817,183.7882612,183.8701601,174.6960152
ETH,19/11/2019,175.5936935,178.4223412,178.4223412,172.4956582
ETH,20/11/2019,174.7796504,175.6027918,177.2658184,173.3506038
ETH,21/11/2019,160.5179612,174.7790949,175.539895,156.4895342
ETH,22/11/2019,149.5245322,160.8533429,162.5769374,138.0537492
ETH,23/11/2019,152.136245,149.5208628,154.3257126,146.3886015
ETH,24/11/2019,144.315288,152.1385143,152.9254108,141.5578156
ETH,25/11/2019,146.9818122,140.200101,151.5314412,131.792109
ETH,26/11/2019,148.0068818,146.9829431,149.8963394,143.6151984
ETH,27/11/2019,152.957277,148.0063944,155.8367428,140.9610082
ETH,28/11/2019,150.4119794,152.9551449,154.6622731,149.7748854
