('2016 Sep', 25270403393.618855)
('2018 Oct', 14526936383.34996)
('2017 Jan', 22507570807.719795)
('2019 Jan', 14611816445.785278)
('2016 Jun', 23021251389.812317)
('2016 Jul', 22629542449.241035)
('2017 Dec', 33423472930.40845)
('2018 Dec', 16338844844.014565)
('2018 Apr', 13153739247.92998)
('2016 Mar', 32797039087.356037)
('2017 Nov', 15312465314.69354)
('2016 May', 23746277028.262596)
('2016 Nov', 24634294365.28007)
('2015 Nov', 53607614201.79755)
('2017 Sep', 30675106219.631783)
('2015 Oct', 53901692120.53661)
('2015 Dec', 55899526672.35286)
('2019 Feb', 28940599438.1487)
('2016 Feb', 69180681134.38782)
('2018 May', 17422505108.986412)
('2018 Mar', 15549765961.743269)
('2017 Apr', 22355124545.39532)
('2017 Jun', 30199442465.12777)
('2017 Jul', 25460300456.233)
('2016 Oct', 32112869584.90849)
('2019 Jun', 15076119023.33226)
('2018 Feb', 23636574203.828865)
('2018 Jul', 27506077453.154026)
('2018 Jun', 16533308366.812864)
('2015 Aug', 159744029578.0333)
('2018 Nov', 16034859008.681646)
('2016 Jan', 56596270931.31675)
('2018 Aug', 18483235826.89473)
('2016 Apr', 23361180502.721268)
('2016 Dec', 50318068074.686714)
('2019 May', 14479858767.710985)
('2019 Mar', 18083035519.522343)
('2018 Sep', 15213870989.523373)
('2017 Mar', 23232253600.81755)
('2017 May', 23572314972.015255)
('2017 Aug', 25905774673.989174)
('2016 Aug', 22396836435.95905)
('2017 Oct', 17506742628.97175)
('2015 Sep', 56511301521.03311)
('2017 Feb', 23047230327.25406)
('2018 Jan', 52106060636.84313)
('2019 Apr', 11569797163.99415)
