('2016 Sep', 3.2627612247553618e+19)
('2018 Oct', 3.0704021430260987e+18)
('2017 Jan', 5.620285956535287e+19)
('2019 Jan', 4.4548138889026207e+18)
('2016 Jun', 3.0490334850062647e+19)
('2016 Jul', 9.577823510582732e+19)
('2017 Dec', 1.3737046580113574e+19)
('2018 Dec', 5.944894163484667e+18)
('2018 Apr', 2.4492682348523305e+18)
('2016 Mar', 4.585306412777941e+19)
('2017 Nov', 2.964110327473976e+19)
('2016 May', 4.704660952446573e+19)
('2016 Nov', 3.964431643835168e+19)
('2015 Nov', 5.9484743862494355e+19)
('2017 Sep', 3.4388885218277777e+19)
('2015 Oct', 7.416931809333851e+19)
('2015 Dec', 2.67640961839415e+19)
('2019 Feb', 3.9808452645115336e+18)
('2016 Feb', 6.5547608759906206e+19)
('2018 May', 2.4981909136534415e+18)
('2018 Mar', 2.7280798911625574e+18)
('2017 Apr', 1.113500746219126e+20)
('2017 Jun', 5.678772230936357e+19)
('2017 Jul', 6.498146379272027e+19)
('2016 Oct', 3.244442633970892e+19)
('2019 Jun', 3.036242776709367e+18)
('2018 Feb', 6.230362795090378e+18)
('2018 Jul', 2.274934755439666e+18)
('2018 Jun', 2.8085234163057843e+18)
('2015 Aug', 4.805211845959754e+20)
('2018 Nov', 5.397909048901763e+18)
('2016 Jan', 6.1066070477195715e+19)
('2018 Aug', 2.398950798112799e+18)
('2016 Apr', 2.2670632047052935e+19)
('2016 Dec', 6.14665867753776e+19)
('2019 May', 4.005277417445864e+18)
('2019 Mar', 3.8232746686782213e+18)
('2018 Sep', 3.733481101982453e+18)
('2017 Mar', 1.77021580942219e+20)
('2017 May', 1.2484777365192955e+20)
('2017 Aug', 4.827395651885481e+19)
('2016 Aug', 5.908198737289521e+19)
('2017 Oct', 2.67369104247468e+19)
('2015 Sep', 7.046467945767352e+19)
('2017 Feb', 5.558009016262699e+19)
('2018 Jan', 1.1164572720748698e+19)
('2019 Apr', 4.128024532009211e+18)
